timestamp,magnitude
1143, 157
1164, 197
1184, 127
1204, 37
1225, 159072861
1245, 159072846
1266, 159072831
1368, 20
1388, 123
1409, 105
1429, 159072858
1450, 159072788
1470, 159072845
1613, 44
1634, 67
1654, 3
1695, 159072776
1716, 159072727
1736, 159072751
1757, 159072771
1777, 159072775
1797, 159072779
1818, 159072793
1838, 159072822
1859, 159072861
1879, 36
1900, 61
1920, 52
1941, 11
1961, 17
2331, 153
2352, 273
2372, 165
2393, 159072813
2413, 159072703
2434, 159072740
2455, 159072761
2475, 159072769
2496, 159072785
2516, 159072824
2537, 5
2558, 30
2578, 8
2599, 7
2619, 80
2990, 168
3010, 167
3031, 45
3052, 159072791
3072, 159072746
3093, 159072766
3113, 159072791
3134, 159072813
3155, 159072835
3175, 159072857
3196, 7
3216, 159072841
3237, 159072811
3257, 23
3628, 189
3648, 243
3669, 96
3689, 159072793
3710, 159072751
3730, 159072795
3751, 159072822
3772, 159072831
3792, 159072840
3813, 159072856
3833, 7
3854, 159072856
3875, 159072832
4265, 20
4286, 119
4306, 103
4327, 159072853
4347, 159072763
4368, 159072781
4389, 159072794
4409, 159072800
4430, 159072822
4450, 159072851
4471, 6
4492, 159072852
4512, 159072821
4533, 8
4903, 141
4924, 209
4944, 101
4965, 159072817
4986, 159072758
5006, 159072776
5027, 159072799
5047, 159072836
5068, 14
5088, 31
5109, 12
5130, 159072831
5150, 159072820
5171, 31
5561, 133
5582, 149
5602, 40
5623, 159072782
5644, 159072730
5664, 159072750
5685, 159072783
5705, 159072822
5726, 0
5746, 27
5767, 28
5788, 159072859
5808, 159072806
5829, 159072809
5849, 81
5870, 238
5891, 240
5911, 97
5932, 159072828
5952, 159072750
5973, 159072715
5993, 159072744
6014, 159072829
6261, 45
6281, 71
6302, 11
6322, 159072778
6343, 159072726
6364, 159072766
6384, 159072832
6405, 17
6425, 37
6446, 39
6466, 39
6487, 17
6508, 159072834
6528, 159072845
6549, 76
6960, 141
6981, 99
7001, 159072859
7022, 159072810
7042, 159072797
7063, 159072791
7084, 159072781
7104, 159072801
7125, 159072841
7145, 3
7166, 1
7186, 159072838
7207, 159072819
7228, 9
7248, 122
7269, 201
7289, 178
7310, 94
7331, 10
7351, 159072837
7372, 159072855
7392, 23
